algorithm,time
bubbleSort,1994
insertionSort,999
selectionSort,997
mergeSort,0
gnomeSort,997
quickSort,997
heapSort,0

bubbleSort,997
insertionSort,0
selectionSort,998
mergeSort,0
gnomeSort,1994
quickSort,0
heapSort,0

bubbleSort,998
insertionSort,998
selectionSort,997
mergeSort,0
gnomeSort,997
quickSort,0
heapSort,0

bubbleSort,1995
insertionSort,997
selectionSort,998
mergeSort,0
gnomeSort,1994
quickSort,998
heapSort,0

bubbleSort,1996
insertionSort,997
selectionSort,997
mergeSort,997
gnomeSort,998
quickSort,0
heapSort,0

bubbleSort,2991
insertionSort,1000
selectionSort,1999
mergeSort,997
gnomeSort,2991
quickSort,0
heapSort,998

bubbleSort,1994
insertionSort,999
selectionSort,996
mergeSort,997
gnomeSort,1995
quickSort,0
heapSort,0

bubbleSort,1996
insertionSort,997
selectionSort,998
mergeSort,0
gnomeSort,997
quickSort,0
heapSort,0

bubbleSort,1996
insertionSort,0
selectionSort,986
mergeSort,0
gnomeSort,998
quickSort,0
heapSort,0

bubbleSort,1994
insertionSort,997
selectionSort,997
mergeSort,0
gnomeSort,1995
quickSort,0
heapSort,998

bubbleSort,1994
insertionSort,997
selectionSort,998
mergeSort,1009
gnomeSort,985
quickSort,0
heapSort,0

bubbleSort,1994
insertionSort,998
selectionSort,997
mergeSort,0
gnomeSort,998
quickSort,0
heapSort,0

bubbleSort,998
insertionSort,0
selectionSort,998
mergeSort,0
gnomeSort,1995
quickSort,0
heapSort,0

bubbleSort,1995
insertionSort,0
selectionSort,997
mergeSort,999
gnomeSort,1993
quickSort,0
heapSort,0

bubbleSort,1994
insertionSort,997
selectionSort,998
mergeSort,0
gnomeSort,999
quickSort,0
heapSort,0

bubbleSort,1994
insertionSort,998
selectionSort,997
mergeSort,0
gnomeSort,998
quickSort,0
heapSort,996

bubbleSort,997
insertionSort,0
selectionSort,1995
mergeSort,0
gnomeSort,998
quickSort,0
heapSort,0

bubbleSort,997
insertionSort,997
selectionSort,998
mergeSort,997
gnomeSort,1994
quickSort,0
heapSort,0

bubbleSort,998
insertionSort,0
selectionSort,998
mergeSort,0
gnomeSort,1994
quickSort,0
heapSort,0

bubbleSort,1990
insertionSort,0
selectionSort,998
mergeSort,0
gnomeSort,1995
quickSort,0
heapSort,0

bubbleSort,1994
insertionSort,0
selectionSort,997
mergeSort,0
gnomeSort,1994
quickSort,0
heapSort,998

bubbleSort,1994
insertionSort,0
selectionSort,997
mergeSort,0
gnomeSort,1995
quickSort,0
heapSort,0

bubbleSort,1993
insertionSort,0
selectionSort,998
mergeSort,996
gnomeSort,1995
quickSort,0
heapSort,0

bubbleSort,1995
insertionSort,997
selectionSort,997
mergeSort,998
gnomeSort,997
quickSort,0
heapSort,0

bubbleSort,1996
insertionSort,998
selectionSort,997
mergeSort,0
gnomeSort,1995
quickSort,0
heapSort,996

bubbleSort,1996
insertionSort,997
selectionSort,998
mergeSort,0
gnomeSort,1995
quickSort,0
heapSort,0

bubbleSort,1993
insertionSort,0
selectionSort,998
mergeSort,0
gnomeSort,1995
quickSort,0
heapSort,997

bubbleSort,998
insertionSort,0
selectionSort,1995
mergeSort,0
gnomeSort,1994
quickSort,0
heapSort,0

bubbleSort,1995
insertionSort,0
selectionSort,0
mergeSort,0
gnomeSort,1994
quickSort,0
heapSort,998

bubbleSort,1994
insertionSort,0
selectionSort,998
mergeSort,0
gnomeSort,1995
quickSort,0
heapSort,0

bubbleSort,998
insertionSort,0
selectionSort,997
mergeSort,0
gnomeSort,1997
quickSort,0
heapSort,997

bubbleSort,998
insertionSort,0
selectionSort,998
mergeSort,0
gnomeSort,1994
quickSort,0
heapSort,0

bubbleSort,1995
insertionSort,997
selectionSort,998
mergeSort,997
gnomeSort,997
quickSort,0
heapSort,0

bubbleSort,1994
insertionSort,0
selectionSort,997
mergeSort,0
gnomeSort,1994
quickSort,0
heapSort,0

bubbleSort,1996
insertionSort,997
selectionSort,997
mergeSort,0
gnomeSort,998
quickSort,997
heapSort,0

bubbleSort,1995
insertionSort,0
selectionSort,998
mergeSort,0
gnomeSort,1994
quickSort,0
heapSort,0

bubbleSort,996
insertionSort,0
selectionSort,997
mergeSort,0
gnomeSort,1994
quickSort,0
heapSort,0

bubbleSort,1995
insertionSort,997
selectionSort,998
mergeSort,0
gnomeSort,1996
quickSort,0
heapSort,0

bubbleSort,1995
insertionSort,997
selectionSort,997
mergeSort,997
gnomeSort,1995
quickSort,0
heapSort,0

bubbleSort,997
insertionSort,0
selectionSort,997
mergeSort,0
gnomeSort,1995
quickSort,0
heapSort,0

bubbleSort,998
insertionSort,997
selectionSort,997
mergeSort,0
gnomeSort,1995
quickSort,0
heapSort,0

bubbleSort,1995
insertionSort,997
selectionSort,998
mergeSort,997
gnomeSort,1994
quickSort,0
heapSort,0

bubbleSort,997
insertionSort,0
selectionSort,997
mergeSort,0
gnomeSort,998
quickSort,997
heapSort,0

bubbleSort,1994
insertionSort,0
selectionSort,997
mergeSort,0
gnomeSort,997
quickSort,0
heapSort,0

bubbleSort,1994
insertionSort,0
selectionSort,999
mergeSort,0
gnomeSort,997
quickSort,0
heapSort,1000

bubbleSort,2000
insertionSort,0
selectionSort,997
mergeSort,0
gnomeSort,998
quickSort,997
heapSort,0
